order_number	order_date	sales_associate	customer	products/quantities	total_sale
CHA-CHING-0000001	2002-09-30	Haviva N. Glenn	Kennedy I. Hatfield	GRMZM0000066:30,GRMZM0000056:14	19.14
CHA-CHING-0000002	2002-10-30	Nolan E. Ward	Noelani L. Grimes	GRMZM0000060:23,GRMZM0000027:52,GRMZM0000014:25,GRMZM0000045:70,GRMZM0000046:6	120
CHA-CHING-0000003	2002-10-31	Sandra E. Ramsey	Carolyn A. Burt	GRMZM0000010:38,GRMZM0000079:62,GRMZM0000048:73	122.66
CHA-CHING-0000004	2002-11-03	Nolan E. Ward	Linda G. Farmer	GRMZM0000066:60,GRMZM0000017:82	49.94
CHA-CHING-0000005	2002-11-05	Macaulay U. Shaw	Uta A. Bray	GRMZM0000041:64,GRMZM0000026:22	109.66
CHA-CHING-0000006	2002-11-11	Brennan J. Morris	Diana Y. Freeman	GRMZM0000038:94,GRMZM0000068:9,GRMZM0000013:59,GRMZM0000096:63	192.28
CHA-CHING-0000007	2002-11-18	Nolan E. Ward	Lysandra I. Gardner	GRMZM0000061:50,GRMZM0000047:25,GRMZM0000088:10,GRMZM0000078:97	160.79
CHA-CHING-0000008	2002-12-08	Nolan E. Ward	Ava Y. Morrow	GRMZM0000092:98,GRMZM0000020:76,GRMZM0000018:4	68.8
CHA-CHING-0000009	2002-12-13	Hayley W. Harrell	Dai J. Fields	GRMZM0000021:29,GRMZM0000007:61	98
CHA-CHING-0000010	2002-12-15	Brennan J. Morris	Nathan L. Avila	GRMZM0000072:9,GRMZM0000072:66,GRMZM0000001:15,GRMZM0000009:77	113.53
CHA-CHING-0000011	2002-12-15	Macaulay U. Shaw	Latifah P. Jarvis	GRMZM0000098:58,GRMZM0000038:80	87.12
CHA-CHING-0000012	2002-12-28	Macaulay U. Shaw	Liberty C. Mclaughlin	GRMZM0000087:71,GRMZM0000047:13	50.64
CHA-CHING-0000013	2003-01-05	Macaulay U. Shaw	Janna K. Mejia	GRMZM0000095:69,GRMZM0000063:51,GRMZM0000014:58,GRMZM0000044:22,GRMZM0000026:83	234.41
